"brand_name","2019","2020","2021","2022","2023"
"Pomalyst",0,21.9473315434839,33.7924937128075,46.2747111203311,43.3721659433208
"Cabometyx",0,-11.4916320409223,54.0606052738935,113.687151825209,157.86593719207
"Revlimid",0,14.614622972578,26.1165806263168,27.0047158458698,-17.4036747369803
"Ibrance",0,15.4875524296111,3.57587743886953,6.69220236571923,10.6667435379967
"Vyndamax",0,1595.549314093,3462.56392230099,5557.69125936463,8935.56076561234
"Tagrisso",0,23.8550557821468,42.5527116685678,68.7782832346048,92.2983650765776
"Lenvima",0,34.9702476684394,65.9319449440906,129.732449266474,185.831263849214
"Imbruvica",0,21.4322524150472,29.1092559626714,16.965050807074,-2.79002312124056
"Sprycel",0,10.5147270561599,18.8374528836119,32.1047540662182,34.678299761033
"Opsumit",0,41.8329653405794,59.2756468597232,50.7330364542657,87.9963901011476
