"brand_name","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Pomalyst",NA,0,103.718485420692,181.386137542955,273.215372812082,400.391314535473,613.549146996498,833.49118947911,1038.3675957633,1148.94114099345,1265.46154074431,1238.36653724627
"Cabometyx",NA,NA,NA,NA,NA,0,122.272713992686,198.439664677859,164.144076548917,359.777953780088,537.727219366821,669.574238274433
"Revlimid",0,32.7143902594954,64.3364447432836,104.230730188915,161.660911839375,225.521299112386,299.615664656634,359.409797848255,426.55080770286,479.391928108493,483.472108325261,279.455610920926
"Ibrance",NA,NA,NA,0,224.800544161078,356.326280894122,391.989166965417,496.047098013346,588.360204823338,517.361011716241,535.935776007395,559.625913324101
"Vyndamax",NA,NA,NA,NA,NA,NA,NA,0,1595.549314093,3462.56392230099,5557.69125936463,8935.56076561234
"Tagrisso",NA,NA,NA,0,2440.72588894926,4141.2310962387,8590.88752944718,14252.2697498119,17676.0117046337,20359.5497143444,24123.514488932,27499.1800802685
"Lenvima",NA,NA,NA,0,98.848655869536,208.951541713954,440.057529661252,963.612747451664,1335.5607594686,1664.87331851983,2343.46361543115,2940.13775850244
"Imbruvica",NA,0,6346.64270496364,14181.9125869274,23544.6542677529,32966.6505028723,45020.8488291882,58868.8560052672,71507.2100705817,76034.2512380995,68872.952386911,57223.6112883892
"Sprycel",0,50.2977957683754,103.777807227321,165.536422918369,205.626073444982,235.984970058996,253.480324212697,259.752183541149,297.579143719077,327.520331613478,375.249737314885,384.508124146411
"Opsumit",NA,0,8145.4613646692,20249.8035847392,30387.2505772887,35417.9303978771,41478.2414874028,47975.3504509521,68086.695142461,76472.3254108329,72365.4355207497,90279.9233762658
